event_id,source,was_correct
HIST-0001,WMS,True
HIST-0002,WMS,True
HIST-0003,WMS,True
HIST-0004,WMS,True
HIST-0005,WMS,True
HIST-0006,WMS,True
HIST-0007,WMS,True
HIST-0008,WMS,True
HIST-0009,WMS,True
HIST-0010,WMS,True
HIST-0011,WMS,True
HIST-0012,WMS,True
HIST-0013,WMS,True
HIST-0014,WMS,True
HIST-0015,WMS,True
HIST-0016,WMS,True
HIST-0017,WMS,True
HIST-0018,WMS,True
HIST-0019,WMS,True
HIST-0020,WMS,True
HIST-0021,WMS,True
HIST-0022,WMS,True
HIST-0023,WMS,True
HIST-0024,WMS,True
HIST-0025,WMS,True
HIST-0026,WMS,True
HIST-0027,WMS,True
HIST-0028,WMS,False
HIST-0029,WMS,False
HIST-0030,ECOMMERCE,True
HIST-0031,ECOMMERCE,True
HIST-0032,ECOMMERCE,True
HIST-0033,ECOMMERCE,True
HIST-0034,ECOMMERCE,True
HIST-0035,ECOMMERCE,True
HIST-0036,ECOMMERCE,True
HIST-0037,ECOMMERCE,True
HIST-0038,ECOMMERCE,True
HIST-0039,ECOMMERCE,True
HIST-0040,ECOMMERCE,True
HIST-0041,ECOMMERCE,True
HIST-0042,ECOMMERCE,True
HIST-0043,ECOMMERCE,True
HIST-0044,ECOMMERCE,True
HIST-0045,ECOMMERCE,True
HIST-0046,ECOMMERCE,True
HIST-0047,ECOMMERCE,True
HIST-0048,ECOMMERCE,True
HIST-0049,ECOMMERCE,False
HIST-0050,ECOMMERCE,False
HIST-0051,ECOMMERCE,False
HIST-0052,ECOMMERCE,False
HIST-0053,ECOMMERCE,False
HIST-0054,ECOMMERCE,False
HIST-0055,ECOMMERCE,False
HIST-0056,ECOMMERCE,False
HIST-0057,TPL,True
HIST-0058,TPL,True
HIST-0059,TPL,True
HIST-0060,TPL,True
HIST-0061,TPL,True
HIST-0062,TPL,True
HIST-0063,TPL,True
HIST-0064,TPL,True
HIST-0065,TPL,True
HIST-0066,TPL,True
HIST-0067,TPL,True
HIST-0068,TPL,True
HIST-0069,TPL,True
HIST-0070,TPL,True
HIST-0071,TPL,True
HIST-0072,TPL,True
HIST-0073,TPL,True
HIST-0074,TPL,True
HIST-0075,TPL,True
HIST-0076,TPL,True
HIST-0077,TPL,True
HIST-0078,TPL,True
HIST-0079,TPL,False
HIST-0080,TPL,False
HIST-0081,TPL,False
HIST-0082,TPL,False
HIST-0083,TPL,False
