upc,quantity_on_hand,snapshot_time
0123456789012,40,2026-08-14T13:30:00
0123456789029,45,2026-08-13T13:00:00
0123456789036,27,2026-08-14T14:15:00
0123456789043,32,2026-08-14T14:10:00
0123456789050,13,2026-08-14T14:00:00
0123456789074,-5,2026-08-14T14:45:00
0123456789081,49,2026-08-14T14:20:00
0123456789098,33,2026-08-14T10:00:00
0123456789104,42,2026-08-14T14:25:00
0123456789111,49,2026-08-14T14:20:00
0123456789128,29,2026-08-14T14:15:00
0123456789135,9,2026-08-12T13:00:00
9000000002002,84,2026-08-14T13:58:00
9000000002003,24,2026-08-13T02:46:00
9000000002004,114,2026-08-14T04:27:00
9000000002005,154,2026-08-14T09:46:00
9000000002006,92,2026-08-14T12:51:00
9000000002007,196,2026-08-14T05:21:00
9000000002008,75,2026-08-14T03:47:00
9000000002009,197,2026-08-14T09:34:00
9000000002010,53,2026-08-14T03:40:00
9000000002011,196,2026-08-14T11:35:00
9000000002012,285,2026-08-14T03:35:00
9000000002013,296,2026-08-14T09:07:00
9000000002014,218,2026-08-14T07:45:00
9000000002015,247,2026-08-14T07:42:00
9000000002016,196,2026-08-14T12:38:00
9000000002017,91,2026-08-14T04:20:00
9000000002018,251,2026-08-14T03:34:00
9000000002019,183,2026-08-13T07:51:00
9000000002020,268,2026-08-14T03:36:00
9000000002021,270,2026-08-14T04:17:00
9000000002022,177,2026-08-14T13:31:00
9000000002023,134,2026-08-14T05:25:00
9000000002024,78,2026-08-14T07:17:00
9000000002025,120,2026-08-14T07:02:00
9000000002026,276,2026-08-14T14:09:00
9000000002027,294,2026-08-14T10:36:00
9000000002028,46,2026-08-14T09:45:00
9000000002029,261,2026-08-14T07:34:00
9000000002030,100,2026-08-13T04:22:00
9000000002031,39,2026-08-14T12:39:00
9000000002032,140,2026-08-14T11:23:00
9000000002033,153,2026-08-14T13:39:00
9000000002034,289,2026-08-14T06:13:00
9000000002035,259,2026-08-14T14:28:00
9000000002036,212,2026-08-14T11:52:00
9000000002037,108,2026-08-14T13:39:00
9000000002038,255,2026-08-14T11:20:00
9000000002039,47,2026-08-14T04:38:00
9000000002040,32,2026-08-14T03:05:00
9000000002041,172,2026-08-14T06:42:00
9000000002042,172,2026-08-14T13:15:00
9000000002043,286,2026-08-14T10:20:00
9000000002044,200,2026-08-14T03:07:00
9000000002045,294,2026-08-14T12:41:00
9000000002046,295,2026-08-14T05:53:00
9000000002047,263,2026-08-14T09:47:00
9000000002049,144,2026-08-14T11:58:00
9000000002050,286,2026-08-13T05:00:00
9000000002051,71,2026-08-13T08:05:00
9000000002052,64,2026-08-14T10:28:00
9000000002053,95,2026-08-14T01:56:00
9000000002054,182,2026-08-14T02:32:00
9000000002055,67,2026-08-14T06:39:00
9000000002056,191,2026-08-14T07:42:00
9000000002057,181,2026-08-14T02:55:00
9000000002058,286,2026-08-14T04:36:00
9000000002059,133,2026-08-13T06:59:00
9000000002060,235,2026-08-14T10:10:00
9000000002061,35,2026-08-14T13:19:00
9000000002062,181,2026-08-14T03:08:00
9000000002063,222,2026-08-14T03:10:00
9000000002064,205,2026-08-14T09:19:00
9000000002065,159,2026-08-14T06:58:00
9000000002066,121,2026-08-14T12:55:00
9000000002067,131,2026-08-14T13:43:00
9000000002068,138,2026-08-14T03:46:00
9000000002069,111,2026-08-14T11:59:00
9000000002070,14,2026-08-14T02:38:00
9000000002071,278,2026-08-14T12:14:00
9000000002072,250,2026-08-14T05:09:00
9000000002073,240,2026-08-14T03:38:00
9000000002074,153,2026-08-14T09:49:00
9000000002075,229,2026-08-13T06:53:00
